sha,date,calls,prompt_tokens,output_tokens,total_tokens,flash_usd,sonnet_usd,subject
2c4f749,2026-09-04 08:43,151,141609929,33999,141643928,25.0862,100.345,perf(touch): enlarge touch targets and streamline instant button responsiveness for touchscreens
d2fa256,2026-09-04 08:55,84,87366250,23147,87389397,15.4851,61.9404,perf(keypad): enlarge keypad buttons and format number keys closer to square
0c22579,2026-09-04 09:04,32,35017855,10051,35027906,6.2096,24.8384,perf(keypad): unify stepper multiplier sizing and harmonize add-to-cart buttons across register and modal
e08f615,2026-09-04 09:15,50,56623231,14937,56638168,10.0359,40.1434,feat(layout): add slim shift summary widget option under presets column for small screens
3ae6273,2026-09-04 09:50,308,223317902,37691,223355593,39.5011,158.0045,feat(layout): separate shift widget under presets and compact actions
a2388f3,2026-09-04 09:56,18,1773898,1947,1775845,0.32,1.2798,build(vite): set chunkSizeWarningLimit to 1000 for monolithic POS bundle
6af3f45,2026-09-04 11:12,192,27283628,90614,27374242,5.1485,20.5942,feat(receipt): overhaul receipt customization and preview layout
0a79587,2026-09-04 11:59,101,4244347,44204,4288551,0.9138,3.6553,"feat(telemetry): add token tracking utility, cross-device sync guide, and anti-looping rules"
e4f1f92,2026-09-04 12:09,15,1282403,4773,1287176,0.2439,0.9757,"docs(rules): enforce token discipline, codegraph discovery, and context shielding"
a42aa5e,2026-09-04 12:46,82,3019255,17680,3036935,0.5984,2.3938,feat(backend): add pyinstaller standalone packaging and freeze-safe paths
c3800e9,2026-09-04 12:49,21,1403558,5288,1408846,0.2672,1.0688,feat(scripts): add standalone launchers and build scripts for linux and windows
fa71fd6,2026-09-04 14:02,118,4164725,19554,4184279,0.8074,3.2294,feat(desktop): integrate Tauri v2 shell and backend sidecar
a49427d,2026-09-04 14:30,127,14383403,30624,14414027,2.6499,10.5997,"feat(desktop): add IPC hook, release packaging, and rebrand to VoltFlow POS"
ccd3657,2026-09-04 14:44,90,4150180,18166,4168346,0.7996,3.1984,"fix: harden receipt printing, data paths, and backups"
0ee556c,2026-09-04 14:53,71,8120739,15391,8136130,1.489,5.956,fix(security): prevent path traversal and sanitize QR payments
96a4bc7,2026-09-04 15:06,74,2821907,13543,2835450,0.5481,2.1926,"fix(desktop): harden windows installer, sidecar lifecycle, and startup sync"
5126977,2026-09-04 15:25,114,5229824,24021,5253845,1.0118,4.0473,chore: reorganize root scripts and add debug launcher
29bfbeb,2026-09-04 15:53,112,5294121,20474,5314595,1.0099,4.0395,perf(ui): memoize register views and preset tiles to eliminate touch latency
1f7a058,2026-09-04 18:16,1,81898,211,82109,0.0152,0.0609,"fix(build): resolve packaging errors, harden installers, and add hardware audit"
